,index,archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema,Unnamed: 0,financial_share,fin_pos_share_count,fin_neg_share_count,fin_neu_share_count,fin_pos_share,fin_neg_share,fin_neu_share
34,233,01.09.2026,123.23,124.86,123.095,124.61,16137674.0,XOM,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576,,,,,,,,
35,230,01.09.2026,46.75,46.88,46.505,46.67,38839945.0,XLE,0.8575,0.8607,0.8573,0.8592,61.2237,119.8566,120.1576,,,,,,,,
36,234,01.12.2026,70.96,72.0,70.4699,71.65,5703405.0,USO,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
37,239,01.12.2026,46.75,46.805,46.1001,46.34,28264436.0,XLE,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
38,238,01.12.2026,34.32,34.485,34.055,34.41,7164250.0,BP,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
39,237,01.12.2026,162.7,163.56,160.71,162.34,9796786.0,CVX,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
40,235,01.12.2026,124.46,124.5,122.56,124.03,15314895.0,XOM,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
41,236,01.12.2026,71.16,71.84,71.04,71.66,4390665.0,SHEL,0.859,0.8604,0.8548,0.857,59.6794,120.3773,120.5611,,,,,,,,
42,318,02.02.2026,37.72,37.945,37.285,37.7,11537584.0,BP,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
43,319,02.02.2026,50.1,50.51,49.77,50.05,61479856.0,XLE,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
44,320,02.02.2026,139.83,140.32,138.06,138.4,27735570.0,XOM,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
45,323,02.02.2026,75.5,75.67,74.46,75.33,8544403.0,USO,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
46,321,02.02.2026,76.04,76.325,75.5,75.73,6001816.0,SHEL,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
47,322,02.02.2026,173.44,176.27,172.65,174.03,14235347.0,CVX,0.8431,0.8491,0.842,0.848,70.0575,133.2276,133.4337,7.0,0.2522727272727272,0.4594594594594595,0.3693693693693693,0.1711711711711711,0.464477840337256,0.3863647340610514,0.1491574256016926
48,329,02.03.2026,75.85,77.635,75.64,77.47,10749514.0,USO,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
49,328,02.03.2026,138.64,145.01,138.31,143.73,37442320.0,XOM,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
50,327,02.03.2026,173.88,178.82,173.7541,178.04,18164926.0,CVX,0.848,0.8488,0.8453,0.846,76.0645,134.4471,134.6758,8.0,0.2098765432098765,0.3647058823529411,0.4470588235294118,0.188235294117647,0.3474233300892776,0.4796446991219881,0.1729319707887342
