,archive_date,financial_share,fin_pos_share_count,fin_neg_share_count,fin_neu_share_count,fin_pos_share,fin_neg_share,fin_neu_share
0,01.01.2026,0.11290322580645161,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.21492386572293642,0.5862264199528999,0.19884971432416368
1,01.02.2026,0.1256544502617801,0.25,0.4166666666666667,0.3333333333333333,0.25997995752078296,0.45055613144352163,0.2894639110356954
2,01.03.2026,0.05555555555555555,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.31941092885857275,0.41147684728613054,0.2691122238552967
3,01.04.2026,0.17995444191343962,0.3924050632911392,0.27848101265822783,0.3291139240506329,0.39591761628731165,0.2952432337061505,0.3088391500065379
4,01.11.2025,0.06206896551724138,0.4444444444444444,0.5555555555555556,0.0,0.4407108922326151,0.5592891077673849,0.0
5,01.12.2025,0.2074074074074074,0.2976190476190476,0.47619047619047616,0.2261904761904762,0.30016196321690425,0.5036045018257138,0.196233534957382
6,02.01.2026,0.1890547263681592,0.5263157894736842,0.2894736842105263,0.18421052631578946,0.5555615413870121,0.3039731177942492,0.1404653408187387
7,02.02.2026,0.25227272727272726,0.4594594594594595,0.36936936936936937,0.17117117117117117,0.464477840337256,0.38636473406105143,0.1491574256016926
8,02.03.2026,0.20987654320987653,0.36470588235294116,0.4470588235294118,0.18823529411764706,0.34742333008927767,0.4796446991219881,0.1729319707887342
9,02.04.2026,0.1848101265822785,0.4794520547945205,0.3835616438356164,0.136986301369863,0.4779206729364447,0.4017930884363365,0.12028623862721885
10,02.11.2025,0.044444444444444446,0.3333333333333333,0.5,0.16666666666666666,0.35166995777752935,0.5407342518874291,0.10759579033504157
11,02.12.2025,0.24,0.4583333333333333,0.3958333333333333,0.14583333333333334,0.457701996811923,0.42267158338047806,0.11962641980759896
12,03.01.2026,0.052980132450331126,0.625,0.125,0.25,0.6353246507635295,0.12708692982076977,0.23758841941570075
13,03.02.2026,0.2776735459662289,0.46621621621621623,0.39864864864864863,0.13513513513513514,0.46070397437529886,0.41645297842097506,0.12284304720372605
14,03.03.2026,0.24703087885985747,0.3173076923076923,0.5192307692307693,0.16346153846153846,0.2968656755950596,0.5611775360784108,0.14195678832652958
15,03.04.2026,0.0990990990990991,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.341069257154704,0.4184640729562155,0.24046666988908053
16,03.11.2025,0.2867647058823529,0.4188034188034188,0.42735042735042733,0.15384615384615385,0.4251257836698087,0.43836921483100416,0.13650500149918718
17,03.12.2025,0.22384937238493724,0.4392523364485981,0.34579439252336447,0.21495327102803738,0.43752320743765527,0.36613797791851316,0.19633881464383157
18,04.01.2026,0.04487179487179487,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.4671763112325773,0.4257357830740633,0.1070879056933594
19,04.02.2026,0.24822695035460993,0.4714285714285714,0.39285714285714285,0.1357142857142857,0.4691798930918062,0.4203369860483212,0.11048312085987262
20,04.03.2026,0.1996124031007752,0.39805825242718446,0.47572815533980584,0.1262135922330097,0.40836121218351845,0.48132604959796516,0.11031273821851637
21,04.04.2026,0.019736842105263157,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3241343439777015,0.37278743725542285,0.3030782187668756
22,04.11.2025,0.29442508710801396,0.46745562130177515,0.42011834319526625,0.11242603550295859,0.4713885017063855,0.42932337977475593,0.09928811851885853
23,04.12.2025,0.22064777327935223,0.4954128440366973,0.3394495412844037,0.1651376146788991,0.4962107246589116,0.3466280811539937,0.15716119418709473
24,05.01.2026,0.1804733727810651,0.5573770491803278,0.26229508196721313,0.18032786885245902,0.5607086020436546,0.271251677490059,0.1680397204662864
25,05.02.2026,0.27378964941569284,0.40853658536585363,0.47560975609756095,0.11585365853658537,0.40455172628396674,0.49729899324885074,0.09814928046718255
26,05.03.2026,0.21022727272727273,0.3783783783783784,0.43243243243243246,0.1891891891891892,0.3772934505190871,0.45741842793555204,0.16528812154536088
27,05.04.2026,0.040268456375838924,0.8333333333333334,0.0,0.16666666666666666,0.8157714866107534,0.0,0.1842285133892466
28,05.11.2025,0.31758034026465026,0.49404761904761907,0.35714285714285715,0.1488095238095238,0.4995147799099865,0.3706588021804697,0.1298264179095438
29,05.12.2025,0.21468926553672316,0.4342105263157895,0.23684210526315788,0.32894736842105265,0.425175734327816,0.25765753753169907,0.3171667281404849
30,06.01.2026,0.21194029850746268,0.5633802816901409,0.19718309859154928,0.23943661971830985,0.5683363823053393,0.2153600443334351,0.21630357336122555
31,06.02.2026,0.21729490022172948,0.5,0.336734693877551,0.16326530612244897,0.5059717579147993,0.3564357361351161,0.1375925059500846
32,06.03.2026,0.2346723044397463,0.2882882882882883,0.4954954954954955,0.21621621621621623,0.2803279494418301,0.5251883609085609,0.194483689649609
33,06.04.2026,0.21285140562248997,0.5471698113207547,0.3018867924528302,0.1509433962264151,0.5454182420490402,0.3299900335835727,0.12459172436738702
34,06.11.2025,0.31645569620253167,0.48,0.37142857142857144,0.14857142857142858,0.4826062097552446,0.38611568755843695,0.13127810268631845
35,06.12.2025,0.15668202764976957,0.3235294117647059,0.5,0.17647058823529413,0.30629898199876004,0.5377780896838201,0.15592292831741983
36,07.01.2026,0.19858156028368795,0.40476190476190477,0.34523809523809523,0.25,0.4062515215755903,0.35413208441549565,0.23961639400891402
37,07.02.2026,0.06451612903225806,0.2857142857142857,0.5,0.21428571428571427,0.2733520831766585,0.5030286673891669,0.22361924943417463
38,07.03.2026,0.054187192118226604,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.39513468420970377,0.3850073251307084,0.2198579906595878
39,07.04.2026,0.19662921348314608,0.3,0.5142857142857142,0.18571428571428572,0.29348433302389415,0.5378574522620981,0.16865821471400766
40,07.11.2025,0.22245762711864406,0.4095238095238095,0.45714285714285713,0.13333333333333333,0.40825182899513957,0.4746062641507662,0.11714190685409423
41,07.12.2025,0.06707317073170732,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.4466199687917271,0.19311566336905148,0.3602643678392214
42,08.01.2026,0.17370892018779344,0.44594594594594594,0.35135135135135137,0.20270270270270271,0.4418824800718002,0.3731193584813055,0.18499816144689424
43,08.02.2026,0.0625,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16554876992041162,0.6796878915288433,0.15476333855074503
44,08.03.2026,0.07650273224043716,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.39682671327598235,0.4542088811979702,0.14896440552604745
45,08.04.2026,0.1623529411764706,0.4492753623188406,0.3333333333333333,0.21739130434782608,0.450519574037439,0.33355596193970605,0.215924464022855
46,08.11.2025,0.04878048780487805,0.3,0.6,0.1,0.27322245071839396,0.6277577974461053,0.09901975183550074
47,08.12.2025,0.19851116625310175,0.4,0.375,0.225,0.3907843676079341,0.3941014717476284,0.2151141606444375
48,09.01.2026,0.1802030456852792,0.4507042253521127,0.30985915492957744,0.23943661971830985,0.4676109245795511,0.3304865651774868,0.20190251024296207
49,09.02.2026,0.23623853211009174,0.5533980582524272,0.33980582524271846,0.10679611650485436,0.5606137556055897,0.34852008490499814,0.09086615948941217
50,09.03.2026,0.2400990099009901,0.422680412371134,0.422680412371134,0.15463917525773196,0.4026919179123385,0.4573740704325212,0.13993401165514033
51,09.11.2025,0.057692307692307696,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.22862811742007316,0.652529766494942,0.11884211608498481
52,09.12.2025,0.25900900900900903,0.43478260869565216,0.41739130434782606,0.14782608695652175,0.4344283780929689,0.4186748343866537,0.14689678752037735
53,10.01.2026,0.06134969325153374,0.1,0.3,0.6,0.07247257309894861,0.34066422684933845,0.586863200051713
54,10.02.2026,0.2673076923076923,0.539568345323741,0.37410071942446044,0.08633093525179857,0.5347406619324,0.38898965732579,0.07626968074181004
55,10.03.2026,0.2567849686847599,0.44715447154471544,0.3902439024390244,0.16260162601626016,0.4367326425530055,0.4154161934666746,0.14785116398031992
